id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
13613229,~*30min to Downtown*~ THE COSMOPOLITAN,14016102,Jovan,,Hyde Park,42.26039,-71.1162,Entire home/apt,134,1,146,2019-11-30,4.55,2,302
13613812,A Very Large Room - Lt Green Room,18479599,Agnieszka,,Dorchester,42.32466,-71.05782,Private room,125,28,0,,,8,365
13636659,Quarters™ on DOT STRB - Private Room | Shared Bath,1444340,Short Term Rentals Boston,,South Boston,42.33616,-71.04536,Private room,105,91,7,2019-03-18,0.19,19,70
13650313,"Massachusetts Ave, Lux 1 Bd Back Bay area",22541573,Ken,,Fenway,42.34388,-71.08736,Entire home/apt,174,91,5,2019-08-10,0.12,14,364
13655923,Shared Apartment Near Red Line (JFK/UMASS),79326469,Jason,,Dorchester,42.31757,-71.0588,Private room,60,91,153,2018-12-30,3.65,1,0
13656969,Brighton - Cozy and Quiet Room in a Clean House,77158766,Eunice,,Brighton,42.35891,-71.14401,Private room,41,91,7,2019-08-17,0.19,6,365
13657486,"Large, modern 2br, 2ba renovated 6/16 with patio",79348179,Jeff,,Leather District,42.35117,-71.0573,Entire home/apt,3999,180,4,2016-08-26,0.10,1,362
13670675,Private & new Studio close MIT,28749942,Renata,,West End,42.36205,-71.07023,Entire home/apt,149,2,211,2019-11-16,5.12,9,117
13672165,"Open, light-filled condo in South Boston/South End",15166663,Tomo,,South Boston,42.34153,-71.05241,Entire home/apt,159,91,0,,,1,0
13675884,Near Redline & Commuter Rail Renovated Clean Sunny,18517776,Huggy,,Dorchester,42.30654,-71.07247,Private room,38,29,2,2016-10-09,0.05,30,365
13684319,Quiet room Peaceful neighborhood Close to Harvard,77158766,Eunice,,Brighton,42.35972,-71.1455,Private room,40,91,7,2019-08-02,0.18,6,349
13686161,Sonder | Winthrop Square | Warm 1BR,12243051,Sonder,,Downtown,42.35548,-71.05809,Entire home/apt,132,2,44,2019-11-03,1.08,147,240
13697676,Calm and cozy room in clean Apt,16052189,Jonathan,,Hyde Park,42.23679,-71.13133,Private room,35,91,9,2019-08-12,0.28,8,338
13714817,Abigayle's Bed and Breakfast M263 Q3a,32532791,Marie,,Fenway,42.35077,-71.09825,Private room,170,2,56,2019-11-11,1.41,10,244
13719227,Peaceful neighborhood Quiet room Close to Harvard,77158766,Eunice,,Brighton,42.36051,-71.1449,Private room,40,91,6,2019-06-01,0.15,6,360
13723404,Sonder | Winthrop Square | Modern 1BR,12243051,Sonder,,Downtown,42.35525,-71.05773,Entire home/apt,121,2,52,2019-11-18,1.28,147,244
13762650,"Lux 1BR in Chinatown w/WiFi, Gym",9419684,Mike,,Chinatown,42.35055,-71.0606,Entire home/apt,199,91,0,,,68,0
13796564,Marie's Pied a Terre,81103542,Marie,,Roxbury,42.32404,-71.08,Private room,75,91,4,2016-09-22,0.10,1,0
13810937,1 Bedroom in Beacon Hill,15681500,Jay,,Beacon Hill,42.36047,-71.06954,Private room,85,91,2,2016-07-17,0.05,1,0
13829133,Sunny studio in JP!,45771009,Riyo,,Jamaica Plain,42.31784,-71.10833,Private room,108,1,208,2019-11-24,5.53,2,0
13830152,Room in a house 3 min to T stop-10 min to downtown,21745230,Jurek,,Charlestown,42.38391,-71.07879,Private room,80,28,28,2019-08-18,0.70,11,147
13864196,"Pleasant room(B)Near T,downtown, convention center",19008767,Ellen,,South Boston,42.33935,-71.05035,Private room,109,3,41,2019-05-27,1.00,6,171
13864415,"Comfy room (C) near T, convention center, downtown",19008767,Ellen,,South Boston,42.33919,-71.04967,Private room,89,91,35,2019-07-31,0.85,6,0
13866351,Beautiful and Cozy Entire Apt in Boston,45694133,Dawn,,Dorchester,42.29929,-71.07838,Entire home/apt,190,1,61,2019-12-01,2.36,1,305
13874533,MiniStudio w/Parking Close to Dwntn,45993690,Daniel,,East Boston,42.37566,-71.03266,Entire home/apt,129,91,215,2019-11-09,5.28,1,0
13883902,1 bedroom apt close to Airport and Downtown,82187703,Mohamed,,East Boston,42.3689,-71.03647,Entire home/apt,115,2,26,2018-09-10,0.64,1,0
13907143,Bright and very spacious private room,3155386,Lissette,,Hyde Park,42.23615,-71.12722,Private room,47,91,7,2016-10-04,0.17,1,0
13908031,"Modern Room, Private Bath near airport & city",5997103,Andrea And Tivan,,East Boston,42.3686,-71.03379,Private room,105,1,128,2019-10-27,3.10,2,19
13924495,"4B2B Near T, Boston downtown, Convention Center",19008767,Ellen,,South Boston,42.33898,-71.05089,Entire home/apt,356,91,42,2019-09-26,1.04,6,0
13926284,"Beacon Hill Apt, close to Red line and Downtown",62271680,Agathe & Morgan,,Beacon Hill,42.36011,-71.06885,Entire home/apt,150,91,2,2016-08-15,0.05,1,0
13927765,Beautiful Parkside Boston Apartment,4071493,Cynthia,,Dorchester,42.29133,-71.06829,Entire home/apt,195,91,76,2019-07-28,1.84,1,321
13937181,Guest Room in Cozy Home,82861960,Lelia,,Roslindale,42.27636,-71.13643,Private room,45,2,95,2019-11-24,2.32,2,151
13951579,TWO FLOOR CONDO W/ PRIVATE DECK & ROOF DECK,73203009,Alex,,Charlestown,42.38227,-71.06999,Entire home/apt,219,91,17,2017-11-19,0.55,1,0
13959444,BEAUTIFUL BOSTON BROWNSTONE,21609039,Susan,,Roxbury,42.34019,-71.08245,Entire home/apt,450,2,51,2019-11-03,1.24,3,319
13978700,Luxury Sunny Hill Suite G 3,14785487,Aihua,,Roxbury,42.31077,-71.08627,Entire home/apt,450,28,9,2019-04-01,0.24,6,365
14035943,Gorgeous unique 3BR/3BA duplex North End. (MG-1),5578043,Dror,,North End,42.36475,-71.05228,Entire home/apt,349,2,100,2019-12-01,2.69,10,297
14057189,Charming apartment in Brighton! Free Parking/ Pool,84349533,Moe,,Brighton,42.34436,-71.16708,Entire home/apt,100,91,62,2019-11-19,1.54,1,364
14057466,"2 BR | 1 BA  Close to DWTN & Medical, Free PRKG",30314324,Eileen,,Jamaica Plain,42.31357,-71.11382,Entire home/apt,150,3,104,2019-11-30,2.56,1,285
14071446,Twins in a peaceful room.,18896448,Sandy,,Jamaica Plain,42.3225,-71.11476,Private room,65,91,8,2016-12-06,0.19,2,0
14086516,# friendly family home,27871799,Althea,,Mattapan,42.27514,-71.0774,Private room,55,1,30,2019-10-14,0.73,6,347
14086550,3rd flr hide-away in beautiful home in Central JP,7878244,Una,,Jamaica Plain,42.31236,-71.11722,Entire home/apt,120,3,83,2019-11-29,2.17,1,312
14091605,⍟ Lofty South End Room with Street Parking! ⍟,12452436,Drew,,South End,42.34071,-71.07406,Private room,25,1,99,2019-08-29,2.41,2,0
14104621,"Simple, comfortable and convenient",84922021,Lindsay,,North End,42.36592,-71.05314,Entire home/apt,200,91,10,2017-08-28,0.25,1,0
14105971,Tranquil Treetop Loft,79103444,Bruce,,Jamaica Plain,42.30906,-71.11142,Entire home/apt,129,2,215,2019-11-24,5.25,1,124
14109003,"3rd floor condo, 2 bedrooms, 2 decks",22290246,Kevin,,Jamaica Plain,42.32268,-71.11562,Entire home/apt,117,91,0,,,1,0
14153636,King Zen Room near Harvard Biz School - STR383892,26956083,Todd,,Allston,42.36093,-71.12549,Private room,68,2,149,2019-11-12,3.69,4,116
14196181,"♫@NU, Hynes, Copley, Prudential, Boston Medical, T",50437930,Misha,,Roxbury,42.33723,-71.08385,Entire home/apt,94,1,114,2019-11-11,3.01,4,159
14204600,North End 2 BR | 1 BA Duplex in Little Italy,9410008,Jason,,North End,42.36785,-71.053,Entire home/apt,275,2,156,2019-12-01,3.83,18,315
14216000,"Longfellow Place, Lux 1Bd West End/Beacon Hill*",22541573,Ken,,West End,42.36262,-71.06591,Entire home/apt,219,31,3,2017-01-10,0.07,14,364
14216691,"Longfellow Place, Lux 1 Bd West End/Beacon Hill*",22541573,Ken,,West End,42.36454,-71.06529,Entire home/apt,195,91,0,,,14,67
14237196,Lovely garden level studio steps to transportation,31340713,Kama,,Bay Village,42.34932,-71.06682,Entire home/apt,118,28,65,2019-11-17,1.67,10,362
14242888,Blue Family  bedroom,27871799,Althea,,Mattapan,42.2749,-71.07707,Private room,55,1,65,2019-11-04,1.61,6,353
14254537,Luxury condo in the heart of JP,11722054,Nina,,Jamaica Plain,42.31121,-71.11191,Entire home/apt,200,4,13,2019-08-30,0.32,1,0
14303090,Cozy Remodeled Compact  Apartment,8015347,Edwin,,West Roxbury,42.27232,-71.1625,Entire home/apt,155,1,110,2019-09-08,2.72,2,346
14319414,Luxury 2BD Southie Condo Near BCEC Prvt Roof Deck,66436691,Andrew & Jen,,South Boston,42.33956,-71.05012,Entire home/apt,300,2,37,2019-11-11,0.95,1,0
14368660,Private Room - Commonwealth Avenue,69884462,Syed,,Fenway,42.35009,-71.10682,Private room,100,91,14,2018-07-21,0.35,1,0
14406532,Large one bedroom suite w/ private bath,88589810,Ronda,,West Roxbury,42.28809,-71.16984,Entire home/apt,100,1,128,2019-11-15,3.59,1,355
14414473,Modern living in a conveniently located brownstone,5654336,Bill,,Roxbury,42.33001,-71.09194,Entire home/apt,130,91,88,2019-11-24,2.19,1,32
14415125,"ARTHOUSE,  Stay in a gallery!",70542233,Christine,,Jamaica Plain,42.31634,-71.10286,Entire home/apt,239,28,10,2019-09-03,0.26,2,304
14424180,"Downtown Crossing ARTlab, 2 Bedroom 1 Bath",20857768,Adam,,Downtown,42.35626,-71.06149,Private room,289,9,30,2019-11-29,0.78,14,88
14426987,Urban oasis: 2 pvt rooms+guest bath,31367270,Brad,,Roxbury,42.32673,-71.09283,Private room,145,2,100,2019-11-25,2.48,1,80
14441447,Downtown/upscale room,25911903,Esha,,Back Bay,42.34309,-71.08158,Private room,40,91,1,2017-06-06,0.03,3,147
14452500,1 Bedroom in prime North End,3387042,Nirmal,,North End,42.36691,-71.05365,Entire home/apt,110,91,18,2017-07-04,0.45,1,0
14460344,"Friendly Single Bed near Harvard, BU & BC",89089164,Ellen,,Brighton,42.34595,-71.15275,Private room,80,91,8,2017-03-12,0.20,1,0
14461998,COZY South end studio (In Boston),88372372,Lauren,,South End,42.335,-71.07509,Entire home/apt,165,91,17,2017-10-29,0.42,1,0
14469894,Experience ARTlab Back Bay,71393113,Eric,,Fenway,42.34599,-71.08865,Entire home/apt,300,10,10,2019-05-31,0.25,5,19
14470701,Renovated near Redline/Commuter Rail 4 Harvard MIT,18517776,Huggy,,Dorchester,42.3059,-71.07129,Private room,36,91,3,2017-09-06,0.08,30,365
14474750,Third Floor Suite- 2 bedrooms with private bath.,79575198,Jeff,,Jamaica Plain,42.31179,-71.12133,Entire home/apt,139,2,118,2019-11-10,3.09,2,239
14486237,Boston @ Its Finest,71393113,Eric,,Fenway,42.34737,-71.08906,Entire home/apt,125,10,21,2019-05-31,0.53,5,2
14518405,Pondside 3 Bedroom Condo,89696338,Anton,,Jamaica Plain,42.31352,-71.11896,Entire home/apt,181,2,8,2018-09-03,0.20,1,7
14531631,"Stay W/ 2 Purrfect Cat Co-Hosts, JP 2 Bedrooms",72882793,Drew & Liesl,,Jamaica Plain,42.30776,-71.10478,Entire home/apt,150,2,15,2019-11-03,0.45,1,129
14538087,Charming north end 2brm w/ private deck,2006852,Jay,,North End,42.3661,-71.05192,Entire home/apt,196,1,188,2019-11-17,4.80,4,270
14539326,Andrew Sq Room Close to T&Shops 2,18479599,Agnieszka,,Dorchester,42.32457,-71.05838,Private room,65,91,3,2017-08-03,0.08,8,365
14566378,Convenient Location Private 1 Bdr 1st Floor Apt,25938192,Elena,,Jamaica Plain,42.31742,-71.10957,Entire home/apt,150,3,47,2019-11-10,2.36,2,301
14566386,Fully-Equipped Private 1 Bedroom 2nd Floor Apt,25938192,Elena,,Jamaica Plain,42.31817,-71.11,Entire home/apt,160,3,122,2019-11-12,3.17,2,297
14585335,SPACIOUS TOWNHOUSE with Essential Amenities,90419082,Camille,,Mattapan,42.27519,-71.0687,Entire home/apt,155,2,43,2019-11-02,1.13,2,333
14600925,Costless & Comfy Room by the Red Line w/ Airbed!,16186589,Marie,,Dorchester,42.30399,-71.07042,Private room,32,30,9,2019-09-01,0.24,25,219
14677678,Charming 3 BR Home in Quiet Boston Neighborhood,65498878,Donna,,West Roxbury,42.29561,-71.14608,Entire home/apt,250,91,32,2019-11-11,0.81,1,74
14682588,Be in the Heart of Boston,71393113,Eric,,Fenway,42.34672,-71.08786,Entire home/apt,225,3,43,2019-10-05,1.08,5,1
14682931,"Charming room, in hip JP near The T  #2",30490577,Lori,,Jamaica Plain,42.31795,-71.1002,Private room,72,7,190,2019-11-30,4.81,3,175
14744481,Sonder | Winthrop Square | Simple Studio,12243051,Sonder,,Downtown,42.35392,-71.05908,Entire home/apt,124,2,27,2019-07-06,0.69,147,232
14747561,Very Affordable & Cozy Room with Airbed!,16186589,Marie,,Dorchester,42.30423,-71.07256,Private room,35,30,7,2019-10-28,0.18,25,338
14770892,"Victorian Charm, Modern Living: South End/Back Bay",34055750,Philip And Ann,,South End,42.34337,-71.06951,Entire home/apt,395,2,134,2019-12-01,3.38,1,216
14820482,Historic townhouse in the heart of Boston,92648590,Paul,,Bay Village,42.349,-71.06888,Entire home/apt,443,3,96,2019-11-11,2.47,1,203
14824684,Abigayle's Bed and Breakfast M263 King/Singles,32532791,Marie,,Fenway,42.35012,-71.1024,Private room,175,2,45,2019-11-13,1.14,10,240
14825159,Abigayle's Bed and Breakfast Single M263 S3,32532791,Marie,,Fenway,42.34933,-71.09729,Private room,130,2,44,2019-11-04,1.12,10,225
14834305,"Cozy room near Harvard, MIT, Tufts 27-1B",38092410,Ketai,,Charlestown,42.38411,-71.07805,Private room,49,91,5,2019-11-03,0.13,1,310
14843050,The apartment you were looking for!,92878185,Victor,,South Boston,42.34044,-71.05083,Private room,125,1,33,2019-11-04,0.83,1,345
14868157,"Charming room, in hip JP near The T  #1",30490577,Lori,,Jamaica Plain,42.31605,-71.09932,Private room,75,7,222,2019-11-16,5.63,3,0
14873100,"Large room, 2nd floor, wood floor",26098645,Manuela,,South Boston,42.33108,-71.05696,Private room,75,2,62,2019-11-17,1.60,4,0
14900386,Large Room near Boston Landing/Harvard Sq,91411121,Moon,,Brighton,42.35424,-71.14111,Private room,88,91,13,2018-08-22,0.34,3,179
14918032,Luxurious and Spacious 3 BR private apt near train,44617326,Caroline,,East Boston,42.37705,-71.03119,Entire home/apt,359,91,48,2019-08-27,1.23,3,0
14924831,"New Construction Comfort, Easy To Get Everywhere",93820834,Maria,,Charlestown,42.38192,-71.06884,Private room,190,3,21,2019-07-18,0.55,3,88
14928666,Pied-à-Terre on The Hill,11709426,Hunter,,Beacon Hill,42.35918,-71.06422,Entire home/apt,140,91,3,2017-07-04,0.08,1,0
14936017,☆SPECTACULAR CONDO☆ minutes from downtown!,90606566,Bridget,,East Boston,42.36804,-71.0382,Entire home/apt,60,91,245,2019-08-25,6.24,2,0
14943350,219 on the Ocean with Private Bath,72139831,Robin,,Dorchester,42.30903,-71.04681,Hotel room,97,1,190,2019-11-19,4.85,4,336
14991767,My Flat on Braddock M366,32532791,Marie,,South End,42.34501,-71.07775,Entire home/apt,198,3,26,2019-10-15,0.68,10,115
14993599,"Enjoy private entrance and bath, walk to subway.",94533288,Franklin H.,,Dorchester,42.31086,-71.04945,Private room,105,3,98,2019-11-09,2.54,1,55
14994014,"Downtown!!Stay in a modern apt, walk everywhere!",22591136,Ricardo,,Downtown,42.35169,-71.06419,Entire home/apt,202,2,124,2019-11-10,3.16,1,82
14995433,LUXURY APARTMENT IN THE HEART OF DOWNTOWN BOSTON,72392354,MariaLuisa,,Chinatown,42.3494,-71.06062,Entire home/apt,199,91,7,2017-03-21,0.18,1,0
15016872,Washer+Dryer+Parking!*Private suite*Cul de sac*,34614605,Zvi,,Brighton,42.34286,-71.157,Entire home/apt,75,2,103,2019-11-24,3.83,1,58
15018607,CUTE 1 BEDROOM IN EAST BOSTON CLOSE TO AIRPORT,94792025,Cloe,,East Boston,42.3699,-71.03773,Entire home/apt,120,1,252,2019-11-24,6.43,1,95
15020558,Spacious & Elegant Charlestown Condo Near Downtown,199789,John,,Charlestown,42.37948,-71.06512,Entire home/apt,193,91,13,2017-04-18,0.33,1,0
15041925,Walk to Head of the Charles ! Lrg Private bedroom,9795590,Patrick,,Brighton,42.35365,-71.14681,Private room,90,91,7,2018-10-23,0.18,2,158
15048978,Boston South End Condo - Loft & Working Wood Stove,12581156,Chip,,South End,42.33616,-71.07479,Entire home/apt,135,91,125,2019-08-29,3.35,1,0
15068710,"1 BR Lux Furn Apt, WiFi, On-Site Parking, & View",95297525,Carlo And Sandra,,South Boston,42.33497,-71.04463,Entire home/apt,195,3,111,2019-11-12,2.88,1,145
15071378,"Dalton Street, Luxury 1bd Apartment",22541573,Ken,,Back Bay,42.34685,-71.0842,Entire home/apt,255,91,0,,,14,364
15071413,☆FABULOUS CONDO☆ minutes from downtown!,90606566,Bridget,,East Boston,42.36544,-71.03185,Entire home/apt,60,91,276,2019-09-28,7.10,2,0
15073826,Elegant condo in Boston's historic Back Bay,15789148,Michael,,Back Bay,42.3522,-71.08563,Entire home/apt,150,91,86,2018-11-18,2.22,1,0
15073943,2 Bedroom in Beacon Hill,4020046,Krysti,,Beacon Hill,42.35788,-71.06957,Entire home/apt,250,91,1,2016-09-24,0.03,4,0
15085512,Cozy private  room,95460673,Jacinter,,Roxbury,42.32244,-71.0751,Private room,50,91,41,2019-10-10,1.06,2,364
15121740,1 BR apt - Cozy Lower level,57279567,Jose,,Back Bay,42.35197,-71.08644,Entire home/apt,120,28,49,2019-11-16,1.30,1,156
15122796,Cozy private quiet room,95460673,Jacinter,,Roxbury,42.32382,-71.07351,Private room,60,91,53,2019-11-10,1.36,2,364
15124436,"Private Room near Harvard, BU, MIT",38761324,Ying,,Allston,42.36045,-71.13113,Private room,35,91,37,2019-02-18,0.95,2,0
15124883,"Private Room, near Harvard Square, MIT, BU 2",38761324,Ying,,Allston,42.35978,-71.13159,Private room,72,91,58,2019-03-16,1.49,2,0
15126633,Sonder | Winthrop Square | Bold 1BR,12243051,Sonder,,Downtown,42.35464,-71.05966,Entire home/apt,132,2,31,2019-08-04,0.80,147,239
15127120,Sonder | Winthrop Square | Sleek Studio,12243051,Sonder,,Downtown,42.35461,-71.05935,Entire home/apt,124,2,64,2019-11-19,1.66,147,195
15131365,"Location, Location, Location",47142052,Jeff And Eileen,,South Boston,42.33111,-71.03451,Entire home/apt,161,2,76,2019-11-05,2.00,1,88
15147053,Historic JP Brownstone with Parking. Pets Welcome!,14630158,Lynel,,Jamaica Plain,42.30818,-71.11009,Entire home/apt,175,1,167,2019-12-02,4.43,1,76
15148487,BEAUTIFUL BEACON HILL 2 BEDROOM!,3731207,Kaitlyn,,Beacon Hill,42.35767,-71.07099,Entire home/apt,380,3,189,2019-12-03,4.92,2,262
15166858,(BB-2R) Back Bay Beautiful Beacon Street Studio!,21184200,Airbnb,,Back Bay,42.35063,-71.08675,Entire home/apt,99,1,165,2019-11-17,4.27,14,191
15172518,Spacious|Cozy|Brownstone on Comm|1BR 1BA #1,814298,Short Term Rentals Boston,,Back Bay,42.35024,-71.09083,Entire home/apt,245,91,51,2019-11-01,1.77,94,44
15173160,Generous Brownstone on Commonwealth|3BR 1BA #3,814298,Short Term Rentals Boston,,Back Bay,42.34874,-71.09068,Entire home/apt,300,91,78,2019-12-01,2.11,94,26
15173640,Calm & Cool|Historic Back Bay Studio Spot,814298,Short Term Rentals Boston,,Back Bay,42.34976,-71.09073,Entire home/apt,200,91,48,2019-10-13,1.56,94,84
15174147,On Comm. Mall|Historic Back Bay Brownstone|Studio,814298,Short Term Rentals Boston,,Back Bay,42.35007,-71.0908,Entire home/apt,200,91,50,2019-10-27,1.49,94,109
15174895,Garden Level on Comm|Architectural Beauty|1BR 1BA,814298,Short Term Rentals Boston,,Back Bay,42.35026,-71.09097,Entire home/apt,245,91,49,2019-11-01,1.45,94,0
