id,name,host_id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,date_of_data_download,days_since_last_review
24315639,Beautiful Cozy Apartment | Minutes to Downtown,16541124,Roxbury,42.330040000000004,-71.08556999999999,Entire home/apt,250,1,57,2019-11-11,2.92,5,90,2020-01-31,81 days 00:00:00.000000000
24323872,"Close to major Universities, Museums, Fenway Park",9419684,Fenway,42.34385,-71.10157,Entire home/apt,213,29,0,,,68,119,2020-01-31,
24324101,Downtown Fenway apt with great building amenities,9419684,Fenway,42.34403,-71.10159,Entire home/apt,213,29,0,,,68,119,2020-01-31,
24324307,Great location near Fenway - w/building amenities,9419684,Fenway,42.343270000000004,-71.10209,Entire home/apt,213,29,0,,,68,119,2020-01-31,
24324950,Great 1BR in the Heart of Downtown Boston,13355115,Chinatown,42.34939,-71.06061,Private room,86,91,0,,,1,0,2020-01-31,
24325336,Beacon Hill Studio - 2 min Walk to MGH-Subway-,180283497,Beacon Hill,42.36065,-71.06886999999999,Entire home/apt,180,33,8,2019-08-21,0.43,6,307,2020-01-31,163 days 00:00:00.000000000
24326097,Home away from home in the heart of Fenway,9419684,Fenway,42.3438,-71.10118,Entire home/apt,298,29,0,,,68,119,2020-01-31,
24326482,Lux 2 Bedroom by Fenway with washer/dryer & WIFI,9419684,Fenway,42.34551,-71.09976999999999,Entire home/apt,298,91,1,2018-10-07,0.07,68,28,2020-01-31,481 days 00:00:00.000000000
24326495,SPACIOUS apt in Fenway-walk to everything,9419684,Fenway,42.34368,-71.10167,Entire home/apt,298,29,0,,,68,119,2020-01-31,
24331243,Pristine1b1b.Neartransit.FreeParking.SelfCheckIn,31176944,Roslindale,42.282920000000004,-71.11693000000001,Entire home/apt,98,1,82,2019-11-17,4.69,1,0,2020-01-31,75 days 00:00:00.000000000
